Patent Number,Title,Abstract
CN - 23.12.2022,Quantum computing task processing method and device and quantum computer operating system,"The invention discloses a quantum computing task processing method and device and a quantum computer operating system, the quantum computing task processing method and device are applied to a distributed quantum computing system, the distributed quantum computing system comprises a server and computing equipment, and the method comprises the steps that the server receives a quantum computing task sent by user equipment; the server processes the quantum computing task based on computing resources currently allowed to be used by the computing device to obtain a plurality of sub-computing tasks; and distributing the plurality of sub-computing tasks to the computing device, the server receives a plurality of sub-calculation results returned by the calculation equipment for the plurality of sub-calculation tasks; and synthesizing the plurality of sub-calculation results into a calculation result of the quantum calculation task, and the server returns the calculation result to the user equipment. By adopting the embodiment of the invention, the limitation of the number of quantum bits can be broken through, and the processing of the calculation task which cannot be independently processed by single NISQ equipment is realized."
CN - 26.07.2022,Quantum computing and artificial intelligence fusion method,"The invention provides a quantum computing and artificial intelligence fusion method, belongs to the technical field of quantum computing, big data, artificial intelligence, cloud computing and the like, fuses a traditional service architecture and a quantum computing architecture, and comprises combination of a classic big data architecture and the quantum computing architecture and combination of an artificial intelligence architecture and the quantum computing architecture. The implementation of a service layer is completed by using a classical service architecture method and algorithm, and when computing power is needed, recognition and use of the computing power are performed in combination with a quantum computing architecture, so that the implementation of big data in classical computing and quantum computing is completed; and in combination with a quantum computing super-strong computing power architecture, training and identification of the model are realized, and real-time data processing of a service scene is met. The method can rapidly achieve the training and recognition of a model, meets the real-time data processing of a business scene, improves the timeliness of the whole industry, and greatly improves the performance."
CN - 27.09.2024,"Communication method of quantum computing task, medium, quantum computing system and node thereof","The invention discloses a communication method of a quantum computing task, a medium, a quantum computing system and nodes thereof, the computing nodes in the quantum computing system comprise a first computing node and a second computing node, the method is applied to the first computing node, and the method comprises the following steps: performing variable-length integer coding on binary data corresponding to the quantum computing task, obtaining target binary data; wherein the binary data is obtained by encoding a quantum computing task according to a data structure defined by a specified binary data flow communication protocol, and variable-length integer encoding is used for removing high-order redundant data in the binary data; and the binary data stream containing the target binary data is transmitted to the second computing node through the binary data stream communication protocol. The redundancy degree of the binary data stream obtained by performing binary coding on the quantum computing task is reduced in a variable-length integer coding mode, so that the storage space required by the coded data is further reduced, and the transmission efficiency of the data stream is improved."
CN - 23.07.2021,Packaging structure for superconducting quantum computing chip,"The utility model discloses a packaging structure for a superconducting quantum computing chip in the field of quantum computing chips, which sequentially comprises a shielding cap, a high-frequency circuit board and a heat-conducting bottom plate from top to bottom, a plurality of groups of multi-core integrated high-frequency connecting components are fixed on the upper surface of the high-frequency circuit board, and the high-frequency circuit board and the shielding cap are fixedly connected with the heat-conducting bottom plate; a slot is formed in the upper surface of the high-frequency circuit board, the quantum computing chip penetrates through the slot and is arranged in a closed cavity formed by the upper surface of the heat conduction bottom plate, the high-frequency circuit board and the bottom face of the shielding cover cap, and the quantum computing chip is further connected with the high-frequency circuit board in a bonding mode. The quantum computing chip is located in the closed cavity, any external magnetic field noise, infrared radiation noise and the like can be shielded, good thermal contact between the quantum computing chip and the refrigeration source can be kept through the heat conduction bottom plate, the packaging size can be effectively reduced, and the quantum computing chip is particularly suitable for the working environment of the low-temperature superconducting quantum chip."
US - 14.01.2025,Quantum computing using multiple quantum computers,"A quantum computing service may use multiple quantum computers to execute a same quantum computing algorithm to improve the quantum computational accuracy. The quantum computing service may instruct individual ones of the multiple quantum computers to execute the quantum computing algorithm repeatedly for a number of times. The quantum computing service may obtain a plurality of results from the multiple quantum computers. The quantum computing service may aggregate the plurality of results to generate an ensemble result, and provide the ensemble result to a customer as a final result of the quantum computing algorithm."
CN - 02.02.2024,"Quantum computing system, data sending method, data generating method and related devices","The embodiment of the invention provides a quantum computing system, which comprises a basic computing unit and a quantum computing unit, and is characterized in that the basic computing unit is used for acquiring a plurality of data sets; the plurality of data sets are used for simulating a change process of a specified index of a specified object in a specified time period; sending the plurality of data sets to a quantum computing unit; receiving first simulation result data which is sent by the quantum calculation unit and is obtained by running a specified quantum simulation operation process; based on the first simulation result data, generating second simulation result data of the specified object according to a specified calculation rule; the quantum computing unit is used for receiving a plurality of data sets sent by the basic computing unit; executing a specified quantum simulation operation process aiming at the plurality of data sets; and sending first simulation result data obtained by running the specified quantum simulation operation process to the basic calculation unit. A complex simulation operation process is carried out by the quantum computing unit, so that the overall efficiency of the quantum computing system for simulating related indexes of a research object is improved."
CN - 11.06.2024,Quantum computing monitoring system,"A quantum computing monitoring system may receive a request from a user describing an algorithm to be executed using a classic computing resource and a quantum computing resource and a metric to be monitored associated with executing the algorithm at the quantum computing resource. In execution, the quantum computing monitoring system may cause measurements to be obtained from the quantum computing resource at the individual steps of executing the algorithm at the quantum computing resource, and determine the metric based on the obtained measurements. The quantum computing monitoring system may evaluate the metric relative to a threshold and provide an alert to the user in response to determining that the metric fails to meet the threshold. The quantum computing monitoring system may further perform an operation to modify the execution of the algorithm at the quantum computing resource as needed."
US - 14.06.2022,Quantum message bus using superdense encoding,"A quantum message bus using superdense encoding to provide communications between services running on quantum computing devices and/or classical computing devices is disclosed herein. In one example, a message bus listener service executing on a first quantum computing device receives, via the message bus, a message sent from a sending service running on the first quantum computing device directed to a recipient service executing on a second quantum computing device. A quantum communication driver (QCD) service of the first quantum computing device identifies the second quantum computing device as a remote quantum computing device, and performs superdense encoding of the message using a first set of qubits that are entangled with a second set of qubits of the second quantum computing device. The first set of qubits are then sent to the second quantum computing device, which, in some examples, decodes and transmits the message to the recipient service."
CN - 09.05.2023,"Storage area QoS distribution method based on quantum computing, storage device and intelligent terminal","The invention discloses a storage area QoS distribution method based on quantum computing, which applies a cloud host, a QKDN and a plurality of quantum computing device network elements, and comprises the following steps: the cloud host verifies the identities of the quantum computing device network elements; if the verification is passed, allocating system resources to the quantum computing device network element, and allocating a cloud storage area space to the quantum computing device network element in the cloud host; dividing the cloud storage area space into a plurality of independent memory spaces according to service modules of the quantum computing equipment network element, wherein each service module corresponds to one independent memory space; performing traffic limitation on each service module through a double-speed double-bucket token bucket, and setting the same CIR rate and token bucket capacity of a CBS bucket and an EBS bucket for each service module; and the token bucket parameters carry out adaptive dynamic adjustment on each independent service module according to the actual service volume. According to the invention, the QoS strategy is set according to different service types and module conditions, and the service quality of the QKDN is ensured."
US - 29.09.2022,AUTOMATED QUANTUM CIRCUIT JOB SUBMISSION AND STATUS DETERMINATION,"Automated quantum circuit job submission and status determination is disclosed. A classical computing system receives a request to execute a quantum circuit that includes quantum program instructions that perform one or more quantum operations on one or more qubits. The classical computing system requests, from a first quantum computing system that includes a first set of quantum computing devices, metadata describing characteristics of the first set of quantum computing devices. The classical computing system determines, based on the quantum circuit and the metadata, a selected quantum computing device of the first set of quantum computing devices, and sends, to the first quantum computing system, quantum circuit information that identifies the quantum circuit and instructions to execute the quantum circuit on the selected quantum computing device."
CN - 30.08.2022,Quantum computing task computing method and device and readable storage medium,"The invention discloses a quantum computing task computing method and device and a readable storage medium. The quantum computing task computing method comprises the steps of dividing a task execution bit region and a to-be-calibrated bit region on a quantum chip based on bit information of a to-be-executed quantum computing task and current quantum bit state information; wherein the current quantum bit state information is determined by a quantum chip hardware design parameter and quantum chip information, and the quantum chip information is determined by a result of executing a previous quantum calculation task by the quantum chip and a previous quantum bit calibration operation; and calculating a to-be-executed quantum calculation task based on the task execution bit region, and performing quantum bit calibration operation based on the to-be-calibrated bit region. Based on the method provided by the invention, the quantum computing task and the calibration operation can be simultaneously run on the quantum chip, and the accuracy and the execution efficiency of the quantum computing task are improved."
US - 18.05.2023,Quantum computing monitoring system,"A quantum computing monitoring system may receive a request from user describing an algorithm to be executed using classical and quantum computing resources and a metric to be monitored associated with execution of the algorithm at the quantum computing resources. In execution, the quantum computing monitoring system may cause measurements to be obtained from the quantum computing resources at individual steps of the execution of the algorithm at the quantum computing resources, and the metric to be determined based on the obtained measurements. The quantum computing monitoring system may evaluate the metric with respect to a threshold, and provide an alert to the user responsive to determining that the metric fails to satisfy the threshold. The quantum computing monitoring system may further perform an operation to modify the execution of the algorithm at the quantum computing resources as needed."
WO - 03.08.2023,WO/2023/146690QUANTUM COMPUTING MONITORING SYSTEM,"A quantum computing monitoring system may receive a request from user describing an algorithm to be executed using classical and quantum computing resources and a metric to be monitored associated with execution of the algorithm at the quantum computing resources. In execution, the quantum computing monitoring system may cause measurements to be obtained from the quantum computing resources at individual steps of the execution of the algorithm at the quantum computing resources, and the metric to be determined based on the obtained measurements. The quantum computing monitoring system may evaluate the metric with respect to a threshold, and provide an alert to the user responsive to determining that the metric fails to satisfy the threshold. The quantum computing monitoring system may further perform an operation to modify the execution of the algorithm at the quantum computing resources as needed."
EP - 18.09.2024,QUANTUM COMPUTING MONITORING SYSTEM,"A quantum computing monitoring system may receive a request from user describing an algorithm to be executed using classical and quantum computing resources and a metric to be monitored associated with execution of the algorithm at the quantum computing resources. In execution, the quantum computing monitoring system may cause measurements to be obtained from the quantum computing resources at individual steps of the execution of the algorithm at the quantum computing resources, and the metric to be determined based on the obtained measurements. The quantum computing monitoring system may evaluate the metric with respect to a threshold, and provide an alert to the user responsive to determining that the metric fails to satisfy the threshold. The quantum computing monitoring system may further perform an operation to modify the execution of the algorithm at the quantum computing resources as needed."
US - 03.08.2023,OPTIMIZING A QUANTUM REQUEST,"The examples disclosed herein provide for optimizing a quantum request. In particular, a classical computing system receives at least one quantum computing request. The classical computing system obtains quantum operation data from at least one quantum computing device. The classical computing system modifies the at least one quantum computing request based on the quantum operation data to optimize execution of the at least one quantum computing request by the at least one quantum computing device. The classical computing system sends the modified at least one quantum computing request to the at least one quantum computing device."
US - 14.03.2024,QUANTUM SERVICE MIGRATOR,"Examples relating to transfer of quantum services among quantum computing devices in a quantum computing system are provided. In one example, a request to transfer a quantum service in a quantum computing system is received at a first quantum computing device. A second quantum computing device to which to transfer the quantum service is determined. The quantum service is paused at the first quantum computing device. A service replication for the quantum service is communicated from a first task manager service associated with the first quantum computing device to a second task manager service associated with the second quantum computing device."
CN - 06.02.2024,Quantum-classical heterogeneous parallel programming system and operation method,"According to the quantum-classical heterogeneous parallel programming system and the operation method, quantum-classical heterogeneous parallel is realized in the system at the current stage through cooperation of the programming system and the job management system on the basis of a high-performance computing system structure, a high-performance computing operation system, a job management system and a parallel runtime environment; the method comprises the steps that 1) different node names are set for different nodes, quantum computing nodes are divided into superconducting quantum computing nodes, light quantum computing nodes, ion trap quantum computing nodes and the like according to different physical platforms of the quantum computing nodes, and the names of the quantum computing nodes are set as QN-SC, QN-OPT and QN-ION; the method for modifying the node name is realized by modifying the content of a/etc/hostname file; 2) obtaining node names; 3) judging whether the node is a quantum computing node or not; 4) non-deterministic source broadcast quantum computing node numbers; and 5) executing a quantum-classical heterogeneous task."
US - 03.03.2022,Quantum file migration,"Quantum file migration is disclosed. A first quantum computing system receives a request for the first quantum computing system to provide a quantum file that resides on the first quantum computing system to a second quantum computing system. The quantum file includes a qubit header portion and a qubit data portion. The qubit header portion is stored in one or more qubits implemented by the first quantum computing system, and the qubit data portion is stored in one or more other qubits. In response to the request, the first quantum computing system moves, to the second quantum computing system, the qubit header portion from the one or more qubits implemented by the first quantum computing system to one or more qubits implemented by the second quantum computing system."
EP - 06.03.2024,"METHOD, SYSTEM AND APPARATUS FOR PROCESSING QUANTUM COMPUTING TASK, AND OPERATING SYSTEM","Disclosed are a quantum computing task processing method and apparatus, and a quantum computer operating system. The method includes: cutting a quantum circuit corresponding to a quantum computing task into a plurality of quantum sub-circuits based on an evolution process of a quantum state of a qubit in the quantum circuit; separately preparing an initial quantum state of a qubit in each of the quantum sub-circuits; measuring a qubit, obtained after the initial quantum state is prepared, in each of the quantum sub-circuits, to obtain measurement results of each of the quantum sub-circuits; and combining the measurement results of each of the quantum sub-circuits to obtain computation results of the quantum computing task. According to the method, a quantum computing task may be decomposed into a plurality of independent quantum computing sub-tasks, thereby implementing distributed computing of the quantum computing tasks."
WO - 18.01.2024,WO/2024/015689SYSTEM AND METHOD OF IMPROVING FIDELITY IN EXECUTION OF QUANTUM PROGRAMS,"A quantum computing system including a plurality of quantum computing resources, and at least one classical processor configured to: create and execute a canary circuit corresponding to the original quantum circuit on the at least one classical processor; identify a classical canary output; identify a canary ordering of quantum computing resources that increases a likelihood of generating the classical canary output on the plurality of quantum computing resources; execute the original quantum circuit on the plurality of quantum computing resources; identify a set of actual outputs generated by execution of the original quantum circuit on the plurality of quantum computing resources; associate an ordering of the plurality of quantum computing resources corresponding to each actual output of the set of actual outputs; and determine a correct output of the original quantum circuit based on comparing the ordering of the plurality of quantum computing resources with the canary ordering."
US - 29.08.2024,SEED GENERATION FOR CRYPTOGRAPHIC SYNCHRONIZATION WITHIN FEDERATED QUANTUM COMPUTING ENVIRONMENTS,"Instructions to generate a seed via quantum random number generation for cryptographic synchronization within a federated quantum computing environment comprising a quantum computing system and one or more second quantum computing systems are received by the quantum computing system. Information descriptive of one or more characteristics of (a) the quantum computing system, or (b) some other computing entity of the federated quantum computing environment is obtained. A seed chunk size is determined based at least in part on the one or more characteristics. The seed is generated for cryptographic synchronization, wherein a size of the seed is equivalent to the seed chunk size. The seed is provided to the one or more second quantum computing systems."
CN - 01.09.2023,Special matrix and vector formalization method applied to quantum computing,"The invention discloses a formalization method for a special matrix and a vector applied to quantum computing. The formalization method specifically comprises the following steps: (1) carrying out formalization definition on a 2n * 2n matrix and a 2m vector in a theorem prover Coq; (2) performing formalized definition on the quantum operation and the quantum state in Coq; (3) performing formalized verification on the validity of the quantum operation and the quantum state in Coq; and (4) performing formalized verification on the type security of the quantum computing process in Coq. The quantum computing system is subjected to stricter formalized definition and verification in the theorem prover Coq, the problem of type design defects existing in an existing quantum computing formalization method is solved, and the potential problem that the quantum computing system falls into operation crash due to bad operation between quantum operation and quantum states is eliminated; and the type safety and reliability of the whole quantum computing formalization system are ensured."
CN - 16.10.2020,Quantum computer cluster distributed queue scheduling method and system,"The invention discloses a quantum computer cluster distributed queue scheduling method. The method comprises the steps of querying newly added quantum computing task information in a database; uploading the quantum computing task information to a network queue; and when a task request sent by any task execution node is obtained, sending a preset number of pieces of quantum computing task information to the task execution node according to the sequence of the quantum computing task information in the network queue, so as to process the quantum computing task information through quantum computers; and querying the database through a queue management server, and issuing the quantum computing task information in a network queue mode. Quantum computing task information is searched and issued ina network queue through task execution nodes deployed on an upper computer of each quantum computer, task scheduling of a distributed cluster can be achieved, and therefore large-scale operation of the quantum computers is achieved. The invention also provides a scheduling system which also has the above beneficial effects."
EP - 12.06.2024,QUANTUM COMPUTING PROGRAM COMPILATION USING CACHED COMPILED QUANTUM CIRCUIT FILES,"A quantum computing service may store, in a cache, one or more compiled files of respective quantum functions included in one or more quantum computing programs received one or more customers. When the quantum computing service receives another quantum computing program, from the same or a different customer, the quantum computing service may determine whether the quantum computing program may include one or more of the quantum functions corresponding to the compiled files in the cache. If so, the quantum computing service may use the compiled files in the cache to compile the quantum computing program."
US - 09.02.2023,Quantum computing program compilation using cached compiled quantum circuit files,"A quantum computing service may store, in a cache, one or more compiled files of respective quantum functions included in one or more quantum computing programs received one or more customers. When the quantum computing service receives another quantum computing program, from the same or a different customer, the quantum computing service may determine whether the quantum computing program may include one or more of the quantum functions corresponding to the compiled files in the cache. If so, the quantum computing service may use the compiled files in the cache to compile the quantum computing program."
CN - 29.03.2024,Quantum computing program compiling using cached compiled quantum circuit files,"A quantum computing service may store in a cache one or more compiled files of respective quantum functions included in one or more quantum computing programs that receive one or more customers. When the quantum computing service receives another quantum computing program from the same or different customer, the quantum computing service may determine whether the quantum computing program may include one or more of the quantum functions corresponding to the compiled file in the cache. If so, the quantum computing service may compile the quantum computing program using the compiled file in the cache."
WO - 06.07.2023,WO/2023/129761QUANTUM COMPUTING PROGRAM COMPILATION USING CACHED COMPILED QUANTUM CIRCUIT FILES,"A quantum computing service may store, in a cache, one or more compiled files of respective quantum functions included in one or more quantum computing programs received one or more customers. When the quantum computing service receives another quantum computing program, from the same or a different customer, the quantum computing service may determine whether the quantum computing program may include one or more of the quantum functions corresponding to the compiled files in the cache. If so, the quantum computing service may use the compiled files in the cache to compile the quantum computing program."
EP - 01.01.2025,ARRANGEMENT FOR QUANTUM COMPUTING,"According to an embodiment, an arrangement for quantum computing comprises: a plurality of quantum computing units, each quantum computing unit comprising a plurality of qubits arranged to perform a quantum computation according to a plurality of control signals and to provide at least one output signal according to a result of the quantum computation; a control unit for providing the plurality of control signals; a signal division arrangement for transmitting the plurality of control signals to the plurality of quantum computing units, wherein the signal division arrangement is configured to divide each control signal to each quantum computing unit; wherein the control unit is configured to cause each quantum computing unit to execute a separate instance of the quantum computation; and a read-out unit configured to obtain the at least one output signal from each quantum computing unit and perform at least one statistical operation based on the output signals, thus obtaining an ensemble quantum computation result."
WO - 31.08.2023,WO/2023/161552ARRANGEMENT FOR QUANTUM COMPUTING,"According to an embodiment, an arrangement for quantum computing comprises: a plurality of quantum computing units, each quantum computing unit comprising a plurality of qubits arranged to perform a quantum computation according to a plurality of control signals and to provide at least one output signal according to a result of the quantum computation; a control unit for providing the plurality of control signals; a signal division arrangement for transmitting the plurality of control signals to the plurality of quantum computing units, wherein the signal division arrangement is configured to divide each control signal to each quantum computing unit; wherein the control unit is configured to cause each quantum computing unit to execute a separate instance of the quantum computation; and a read-out unit configured to obtain the at least one output signal from each quantum computing unit and perform at least one statistical operation based on the output signals, thus obtaining an ensemble quantum computation result."
CN - 27.04.2021,Quantum computing system and device,"The utility model provides a quantum computing system and a quantum computing device. The quantum computing system and the quantum computing device are used for selectively shifting quantum bit resonant frequency in the quantum computing system. According to one embodiment, an apparatus for selectively shifting a quantum bit resonant frequency in a quantum computing system includes: a plurality of quantum bits including at least a first quantum bit and a second quantum bit; the plurality of coupling control resonators at least comprise a first coupling control resonator and a second coupling control resonator; and a coupling control signal line. The first coupling control resonator may be configured to shift a resonant frequency of the first quantum bit when the coupling control signal includes a frequency component in a resonant frequency band of the first coupling control resonator. The utility model provides a device and a quantum computing system."
KR - 21.01.2021,METHOD FOR SIMULATING QUANTUM COMPUTING SYSTEM AND QUANTUM COMPUTING SIMULATION SYSTEM,The present invention relates to a method for simulating a quantum computing system with an error correction function. The method for simulating the quantum computing system of the present invention comprises the steps of: generating a quantum information density matrix; generating a coded density matrix by performing quantum error correction coding on the quantum information density matrix; applying quantum computing to the coded density matrix and calculating a change in a first confidence level of the coded density matrix; applying quantum computing to the quantum information density matrix and calculating a change in a second confidence level of the quantum information density matrix; and determining a computation time of quantum computing based on the change in the first reliability and the change in the second reliability. COPYRIGHT KIPO 2021
CN - 14.07.2023,"Machine learning model construction method, machine learning framework and related equipment","The invention discloses a machine learning model construction method, a machine learning framework and related equipment, which are applied to an electronic device comprising a first machine learning framework and not comprising a second machine learning framework, and the first machine learning framework comprises a compatible quantum computing program packaging unit. The method comprises the following steps: determining a compatible quantum computing layer interface of a corresponding second machine learning framework, wherein the compatible quantum computing layer interface is used for providing a quantum program created based on a quantum computing programming library contained in the second machine learning framework; calling the compatible quantum computing layer interface through the compatible quantum computing program packaging unit to construct a compatible quantum computing layer; and a machine learning model comprising the compatible quantum computing layer is constructed, and a cross-quantum machine learning framework is realized to construct the machine learning model."
WO - 05.10.2023,WO/2023/189886INFORMATION PROCESSING DEVICE,"Provided is an information processing device which combines NISQ and FTQC, which computes while correcting faults. This information processing device (1) has a first quantum computing unit (20), a second quantum computing unit (30), and a control unit (10). The first quantum computing unit (20) is equipped with quantum bits, and performs quantum computing. The second quantum computing unit (30) is equipped with quantum bits, and performs quantum computing while correcting faults. The control unit (10) performs a control which causes the first quantum computing unit (20) to perform computation processing, and transfers the computation processing to the second quantum computing unit (30) on the basis of the fault amount in the computation processing of the first quantum computing unit (20)."
CN - 13.02.2024,"Quantum computing method and device based on hybrid cloud platform, electronic equipment and medium","The invention provides a quantum computing implementation method and device based on a hybrid cloud platform, electronic equipment, a computer readable storage medium and a computer program product, and relates to the field of quantum computers, in particular to the technical field of quantum cloud platforms and quantum computing. According to the implementation scheme, a to-be-implemented quantum computing task of a first user and first mapping corresponding to the quantum computing task are obtained from a first cloud platform; obtaining a first identifier corresponding to the quantum computing task to generate a reordering algorithm and a corresponding inverse algorithm based on the first identifier; reordering the first mapping based on a reordering algorithm to obtain a second mapping; sending the second mapping and the quantum computing task to a second cloud platform to obtain a measurement result returned by the second cloud platform; and decrypting the returned measurement result based on an inverse algorithm to obtain a real measurement result. The first mapping is used for identifying a mapping relation of data bits between a quantum register corresponding to the quantum computing task and a classic register."
US - 10.01.2023,Systems and methods for quantum tomography using an ancilla,"Quantum computing systems and methods are provided. In one example, a quantum computing system includes a quantum system having one or more quantum system qubits and one or more ancilla qubits. The quantum computing system includes one or more quantum gates implemented by the quantum computing system. The quantum gate(s) are operable to configure the one or more ancilla qubits into a known state. The quantum computing system includes a quantum measurement circuit operable to perform a plurality of measurements on the one or more quantum system qubits using the one or more ancilla qubits. The quantum computing system includes one or more processors operable to determine a reduced density matrix for a subset of the quantum system based on a set of the plurality of measurements that include a number of repeated measurements performed using the quantum measurement circuit."
CN - 13.12.2022,Quantum computer and quantum computing task execution method,"The invention discloses a quantum computer and an execution method of a quantum computing task, the quantum computer comprises a client device, a task analysis device, a quantum control device and a quantum processor, the client device is used for receiving the quantum computing task; the task analysis equipment is used for performing compiling and analysis operation on the quantum computing task and outputting a task data packet based on a result of the compiling and analysis operation; the quantum control equipment is used for outputting a corresponding regulation and control signal based on the task data packet; and the quantum processor is used for executing the quantum computing task based on the regulation and control signal. A quantum computer different from an existing quantum computer architecture is provided, task analysis operation originally carried out in quantum control equipment is processed by task analysis equipment, and the data processing amount of the quantum control equipment is reduced, so that the quantum control equipment has the advantages of being simple in structure and convenient to operate. According to the structure of the quantum computer, the quantum computing task execution efficiency is improved to a certain extent."
US - 02.02.2023,Analyzing execution of quantum services using quantum computing devices and quantum simulators,"Analyzing execution of quantum services using quantum computing devices and quantum simulators is disclosed. In one example, a classical computing device receives an operating parameter representing an operating condition of a quantum computing device. Upon determining that the operating parameter satisfies an operating environment threshold, the classical computing device initiates execution of a first instance of a quantum service on the quantum computing device. The classical computing device also simulates, using a quantum simulator, the operating condition of the quantum computing device based on the operating parameter, and executes a second instance of the quantum service using the quantum simulator under the simulated operating condition, in parallel with execution of the first instance of the quantum service. The classical computing device obtains and records a first performance characteristic of the quantum computing device and a second performance characteristic of the quantum simulator."
CN - 08.12.2020,Anti-quantum computing encryption device and anti-quantum computing encryption communication system,"The utility model relates to an anti-quantum computing encryption device and an anti-quantum computing encryption communication system, and the anti-quantum computing encryption device mainly comprises a central processing module, a storage module, a communication module, an interface module, and a security chip which is used for realizing encryption and decryption. And the central processing module is respectively connected with the interface module, the security chip, the storage module and the communication module. The utility model also relates to an anti-quantum computing encryption communication system, which mainly comprises a CA center, a user side and a server, and the CA center, the user side and the server are respectively provided with an anti-quantum computing encryption device. The utility model mainly relates to the field of encrypted communication. Secure communication resistant to quantum computing can be realized through cooperation of all modules."
US - 22.06.2023,CENTRALIZING PROVISION OF QUANTUM CORE SERVICES (QCSs),"Centralizing provision of quantum core services (QCSs) is disclosed herein. In one example, a first processor device of a first quantum computing device is to receive, from a second quantum computing device, QCS metadata for a second QCS of the second quantum computing device. The first processor device is further to instruct the second quantum computing device to forward a service request directed to the second QCS of the second quantum computing device to the first quantum computing device. The first processor device initializes a first QCS of the first quantum computing device using the QCS metadata. The first processor device subsequently receives the service request from the second quantum computing device, and services the service request using the first QCS."
AU - 17.09.2020,LSM- Quantum Computing: LARGE DATABASES STORE INTO A VERY SMALL MEMORY USING QUANTUM COMPUTING AND AI-BASED PROGRAMMING,"Our Invention ""LSM- Quantum Computing ""is a computer (Java, C, C++, C#, Ang-3, Ang-8, Ml, DL, Al-based) program product for use in conjunction with a computer system the computer program product zip, comprising, minimized memory storage size, a computer readable very small storage medium and a computer program mechanism embedded therein. The LSM- Quantum Computing computer program mechanism zip, comprises at least 98% a quantum computing complex and integrated development environment module and a compiler module, interpreter model and also the he quantum computing integrated development environment module is used to design a quantum complex logic for a plurality of qubits and other required bits. The LSM- Quantum Computing integrated complex development environment module includes instructions for generating a time, real-time resolved set of multiple operators and Al-Based programming the compiler and interprets module includes instructions for compiling the time-resolved set of operators into a set of quantum Al-programming, machine language instructions. LSM- Quantum Computing using qubits are work objects (binary number0,1) in information systems that are not only able to cope with the well-known normal tasks but also to offer special advantages for systems with extremely large databases as well as small database in which the currently used electronic digital computers using bits (1 to 0, 000101,1111010 or 'off"" to ""on"") reach their limits. Dr. Neeraj Kumar Misra (Associate Professor) Nirupma Pathak (Associate Professor) Dr. Anil Kumar Sahu (Associate Professor) Bandan Kumar Bhoi (Assistant Professor) Dr. Sankit Ramkrishna Kassa (Associate Professor) Ravi Tiwari (Research Scholar) Seyed-Sajad Ahmadpour (Assistant Professor) Jayanta Pal (Assistant Professor) TOTAL NO OF SHEET: 13 NO OF FIG.: 16 FIG.1: IS ASYSTEM 10THAT ISOPERATED INACCORDANCE WITH ONEEMBODIMENT OFTHE INVENTION."
US - 15.06.2023,VISUAL PRESENTATION OF QUANTUM-CLASSICAL INTERFACE IN A USER EXPERIENCE,A quantum computing interface system is provided. The system presents a classical computing user interface (UI) element to represent a classical computing domain. An altered appearance of the classical computing UI element indicates a classical domain event occurring in the classical computing domain. The system presents a quantum computing UI element to represent a quantum computing domain. An altered appearance of the quantum computing UI element indicates a quantum domain event occurring in the quantum computing domain. The system presents a data connection UI element to represent a data connection between the classical computing domain and the quantum computing domain. An altered appearance of the data connection UI element indicates a data flow event related to data transition between the classical computing domain and the quantum computing domain.
EP - 06.03.2024,SYSTEM AND METHOD OF IN-QUEUE OPTIMIZATIONS FOR QUANTUM CLOUD COMPUTING,"A quantum computing system providing quantum processing as a service includes a quantum computing device and a server including at least one classical processor. The server is configured to: create a first job queue that includes a plurality of jobs configured to be executed on the first quantum computing device; receive, from a client device, a request for execution of a quantum program; add a first job entry to the first job queue for the request, the first job entry includes a quantum circuit for a first job; perform an optimization process on the quantum circuit of the first job; transmit the updated quantum circuit to the first quantum computing device for execution by the first quantum computing device using the plurality of qubits; receive, from the quantum computing device, execution results from the execution of the updated quantum circuit; and transmit the execution results to the client device."
CN - 01.09.2020,Analog control method and system of quantum computer and related components,"The invention discloses an analog control method and system of a quantum computer and related components. The method comprises the steps that a quantum computing application program is acquired; a quantum computer analog simulation environment corresponding to the quantum computing application program is selected, the quantum computing application program is executed in the quantum computer analogsimulation environment, and an execution result is output; the execution result is compared with an expected result, and the quantum computing application program is optimized to enable the executionresult of the optimized quantum computing application program to tend to the expected result; the quantum computer analog simulation environment is specifically obtained by learning and simulating operation data and feedback data of an entity quantum computer. According to the method, the quantum computer analog simulation environment obtained through simulation is used for replacing an entity quantum computer, operation does not need to be conducted on the entity quantum computer in the execution and optimization process of an entity quantum computer quantum computing application program, the limitation that an execution object must be the entity quantum computer is removed, the debugging cost is reduced, and the debugging efficiency is improved."
CN - 22.08.2023,Method and system for fully randomized benchmarking of quantum circuits,"A method, apparatus and system for fully randomized benchmarking of a quantum circuit includes: generating representations of m1 random unitary quantum gates based on parameters of the quantum gates; determining a representation of a first quantum gate sequence equivalent to the identical operator; determining a representation of a second quantum gate sequence equivalent to the identical operator; sending a hardware instruction corresponding to the representation of the first quantum gate sequence and a hardware instruction corresponding to the representation of the second quantum gate sequence to the quantum computing device; a measurement of the first number of qubits is received from the quantum computing device after the quantum computing device applies the first sequence of quantum gates to the qubits for a first number of times, and a measurement of the second number of qubits is received from the quantum computing device after the quantum computing device applies the second sequence of quantum gates to the qubits for a second number of times. Receiving a measurement of a second number of qubits from the quantum computing device; and determining a fidelity value of the quantum gate based on the first probability and the second probability."
